Datetime,Open,High,Low,Close,Volume
2013-02-28,76.23,76.49,76.11,76.11,11806300
2013-02-27,75.68,76.45,75.6,76.32,8180300
2013-02-26,75.88,76.34,75.5,75.75,10742100
2013-02-25,76.47,76.66,75.57,75.57,10603300
2013-02-22,76.39,76.49,75.97,76.25,8571500
2013-02-21,76.47,77.019997,76.38,76.87,9465700
2013-02-20,76.79,76.97,76.54,76.65,7857500
2013-02-19,76.029999,77.0,75.96,76.96,9747400
2013-02-15,75.72,76.16,75.51,76.16,10528400
2013-02-14,75.5,76.089996,75.38,75.81,9681800
2013-02-13,75.79,75.87,75.37,75.66,8014800
2013-02-12,75.42,75.86,75.42,75.8,7598900
2013-02-11,75.28,75.5,75.050003,75.41,5697100
2013-02-08,75.17,75.61,74.73,75.48,8153300
2013-02-07,74.82,75.2,74.68,75.059998,9798200
2013-02-06,74.57,75.39,74.52,75.39,12084000
2013-02-05,74.49,74.82,74.47,74.66,10230800
2013-02-04,73.56,74.25,73.56,74.11,9200700
2013-02-01,74.14,74.42,74.080002,74.18,10016300
2013-01-31,74.080002,74.36,73.78,73.92,10448700
2013-01-30,74.45,74.8,74.010002,74.089996,9245500
2013-01-29,73.67,74.62,73.64,74.41,12386500
2013-01-28,73.96,74.0,73.43,73.62,9420900
2013-01-25,73.13,73.93,73.059998,73.92,10421500
2013-01-24,72.96,73.23,72.84,73.099998,9369700
2013-01-23,72.52,72.91,72.47,72.85,10155100
2013-01-22,72.92,73.21,72.42,72.69,11469800
2013-01-18,72.9,73.23,72.79,73.23,13558600
2013-01-17,72.88,73.010002,72.37,72.9,10570100
2013-01-16,72.26,72.82,72.25,72.58,8779900
2013-01-15,72.25,72.44,72.0,72.37,7795100
2013-01-14,72.6,72.79,72.37,72.56,7386000
2013-01-11,72.19,72.58,72.16,72.35,7766700
2013-01-10,71.81,72.38,71.74,72.19,11888500
2013-01-09,71.64,71.85,71.5,71.73,7672800
2013-01-08,71.31,71.65,71.25,71.41,9825300
