Datetime,Open,High,Low,Close,Volume
2013-02-28,49.16,49.55,48.75,48.92,24711500
2013-02-27,47.85,49.4,47.76,49.28,31921200
2013-02-26,48.22,48.26,46.85,47.6,39401400
2013-02-25,49.099998,49.2,47.65,47.7,32775500
2013-02-22,48.63,48.91,48.41,48.91,23584100
2013-02-21,48.41,48.45,47.83,48.25,24437700
2013-02-20,49.35,49.54,48.36,48.61,24786700
2013-02-19,49.12,49.68,49.12,49.45,20445900
2013-02-15,49.35,49.46,48.57,48.88,20016200
2013-02-14,48.4,49.29,48.37,49.22,18017800
2013-02-13,49.35,49.45,48.5,48.68,21635600
2013-02-12,48.8,49.31,48.6,49.14,16388000
2013-02-11,48.51,48.9,48.38,48.66,13935900
2013-02-08,48.33,48.69,48.26,48.63,15218300
2013-02-07,48.65,48.75,47.9,48.23,21429600
2013-02-06,48.42,48.83,48.32,48.61,28282600
2013-02-05,47.94,48.8,47.93,48.79,28067500
2013-02-04,47.54,47.81,47.38,47.68,20822600
2013-02-01,47.4,48.0,47.21,47.85,24520000
2013-01-31,47.0099983,47.22,46.88,47.049999,19536000
2013-01-30,47.040001,47.35,46.96,47.13,18631300
2013-01-29,46.28,47.16,46.25,47.12,19907400
2013-01-28,46.84,47.0,46.48,46.64,19706800
2013-01-25,46.74,47.16,46.61,47.16,26009100
2013-01-24,46.24,46.8,46.080002,46.37,20008200
2013-01-23,46.23,46.44,45.92,46.23,19105100
2013-01-22,46.25,46.55,46.13,46.54,24257300
2013-01-18,46.38,46.6,46.18,46.46,28679100
2013-01-17,46.4,46.87,46.29,46.44,41086800
2013-01-16,45.91,46.83,45.57,46.82,43453600
2013-01-15,45.49,46.47,45.35,46.35,29898000
2013-01-14,45.89,46.18,45.48,45.88,19079500
2013-01-11,45.97,46.15,45.47,46.14,19723900
2013-01-10,45.89,46.16,45.53,46.15,23413600
2013-01-09,45.56,46.2,45.14,45.47,25920600
2013-01-08,45.4,45.5,44.96,45.5,19624200
2013-01-07,45.09,45.49,45.02,45.41,24456900
2013-01-04,44.45,45.43,44.44,45.36,24487700
2013-01-03,44.74,44.75,44.2,44.57,24227700
2013-01-02,44.98,45.0,44.22,44.66,31413000
2012-12-31,43.099998,44.0,43.049999,43.97,24209600
2012-12-28,43.099998,43.69,43.09,43.24,15401200
2012-12-27,43.96,44.02,42.9,43.63,19567000
2012-12-26,43.95,44.18,43.72,43.96,11498900
2012-12-24,43.72,44.02,43.71,43.92,8621200
2012-12-21,43.82,44.2,43.34,44.0,38973500
2012-12-20,43.69,44.54,43.41,44.53,25014900
2012-12-19,43.99,44.39,43.42,43.53,34348500
2012-12-18,43.83,43.94,43.31,43.87,33858600
2012-12-17,43.0,43.51,42.81,43.48,23879800
2012-12-14,42.77,43.11,42.71,42.81,16208600
2012-12-13,42.65,42.92,42.5,42.78,18457000
2012-12-12,43.0,43.38,42.7,42.77,23110600
2012-12-11,42.6,43.09,42.42,42.64,21955000
2012-12-10,42.54,42.67,42.0099983,42.31,22394500
2012-12-07,41.84,42.57,41.73,42.56,34552900
2012-12-06,41.25,41.55,41.11,41.47,20541700
2012-12-05,40.69,41.49,40.5,41.2,25515600
2012-12-04,40.78,40.92,40.2,40.57,24031100
2012-12-03,41.27,41.37,40.75,40.81,18955500
2012-11-30,40.99,41.34,40.85,41.080002,20066600
2012-11-29,41.15,41.35,40.91,41.22,18915000
2012-11-28,40.49,40.88,39.88,40.83,26106900
2012-11-27,40.87,41.2,40.64,40.75,19875000
2012-11-26,40.79,40.88,40.09,40.88,20376600
2012-11-23,41.099998,41.22,40.97,41.09,8316700
2012-11-21,40.94,40.98,40.35,40.73,13030200
2012-11-20,40.33,41.18,40.25,40.7,19375900
2012-11-19,40.09,40.7,40.09,40.59,26781200
2012-11-16,39.43,39.67,38.83,39.53,32458000
2012-11-15,39.060001,39.72,38.97,39.39,24858700
2012-11-14,40.21,40.37,39.13,39.29,30986600
2012-11-13,40.18,40.52,40.0,40.040001,19793500
2012-11-12,40.85,40.91,40.3,40.58,12816000
2012-11-09,40.31,41.23,39.86,40.62,27553200
2012-11-08,41.28,41.5,40.4,40.4,27830900
2012-11-07,42.0099983,42.0099983,40.31,40.48,47631200
2012-11-06,42.57,43.049999,42.41,42.88,17190900
2012-11-05,42.33,42.36,41.86,42.27,13252500
2012-11-02,43.040001,43.07,42.33,42.42,17029200
2012-11-01,41.7,42.9,41.58,42.84,23325400
2012-10-31,41.45,41.79,41.15,41.68,19423500
